date,nav_historical,nav_api,difference
2013-11-18,13.0894,13.0894,0.0
2013-11-19,13.1068,13.1068,0.0
2013-11-20,12.9549,12.9549,0.0
2013-11-21,12.7957,12.7957,0.0
2013-11-22,12.7775,12.7775,0.0
2013-11-25,12.8548,12.8548,0.0
2013-11-26,12.8591,12.8591,0.0
2013-11-27,12.8389,12.8389,0.0
2013-11-28,12.8773,12.8773,0.0
2013-11-29,12.9509,12.9509,0.0
2013-12-02,13.0012,13.0012,0.0
2013-12-03,13.0048,13.0048,0.0
2013-12-04,12.9799,12.9799,0.0
2013-12-05,13.0319,13.0319,0.0
2013-12-06,13.0439,13.0439,0.0
2013-12-09,13.0282,13.0282,0.0
2013-12-10,13.0325,13.0325,0.0
2013-12-11,13.0129,13.0129,0.0
2013-12-12,13.0021,13.0021,0.0
2013-12-13,12.9891,12.9891,0.0
2013-12-16,13.0345,13.0345,0.0
2013-12-17,12.9569,12.9569,0.0
2013-12-18,13.0672,13.0672,0.0
2013-12-19,13.1392,13.1392,0.0
2013-12-20,13.1776,13.1776,0.0
2013-12-23,13.1886,13.1886,0.0
2013-12-24,13.2683,13.2683,0.0
2013-12-26,13.4811,13.4811,0.0
2013-12-27,13.5024,13.5024,0.0
2013-12-30,13.5862,13.5862,0.0
2013-12-31,13.7277,13.7277,0.0
2014-01-01,13.7418,13.7418,0.0
2014-01-02,13.7553,13.7553,0.0
2014-01-03,13.8494,13.8494,0.0
2014-01-06,13.8568,13.8568,0.0
2014-01-07,13.9214,13.9214,0.0
2014-01-08,14.0081,14.0081,0.0
2014-01-09,13.8644,13.8644,0.0
2014-01-10,13.8143,13.8143,0.0
2014-01-13,13.7909,13.7909,0.0
2014-01-14,13.8249,13.8249,0.0
2014-01-15,14.0209,14.0209,0.0
2014-01-16,14.0042,14.0042,0.0
2014-01-17,13.7841,13.7841,0.0
2014-01-20,13.8144,13.8144,0.0
2014-01-21,13.8659,13.8659,0.0
2014-01-22,13.9302,13.9302,0.0
2014-01-23,13.9537,13.9537,0.0
2014-01-24,13.8688,13.8688,0.0
2014-01-27,13.6829,13.6829,0.0
2014-01-28,13.5678,13.5678,0.0
2014-01-29,13.4977,13.4977,0.0
2014-01-30,13.4661,13.4661,0.0
2014-01-31,13.6059,13.6059,0.0
2014-02-03,13.4995,13.4995,0.0
2014-02-04,13.4717,13.4717,0.0
2014-02-05,13.5431,13.5431,0.0
2014-02-06,13.5883,13.5883,0.0
2014-02-07,13.5552,13.5552,0.0
2014-02-10,13.7402,13.7402,0.0
2014-02-11,13.6983,13.6983,0.0
2014-02-12,13.6874,13.6874,0.0
2014-02-13,13.678,13.678,0.0
2014-02-14,13.5948,13.5948,0.0
2014-02-17,13.6423,13.6423,0.0
2014-02-18,13.6801,13.6801,0.0
2014-02-19,13.801,13.801,0.0
2014-02-20,13.8913,13.8913,0.0
2014-02-21,14.037,14.037,0.0
2014-02-24,14.1905,14.1905,0.0
2014-02-25,14.2704,14.2704,0.0
2014-02-26,14.1733,14.1733,0.0
2014-02-28,14.2102,14.2102,0.0
2014-03-03,14.2753,14.2753,0.0
2014-03-04,14.4166,14.4166,0.0
2014-03-05,14.5448,14.5448,0.0
2014-03-06,14.6678,14.6678,0.0
2014-03-07,14.5275,14.5275,0.0
2014-03-10,14.5576,14.5576,0.0
2014-03-11,14.6449,14.6449,0.0
2014-03-12,14.7175,14.7175,0.0
2014-03-13,14.7121,14.7121,0.0
2014-03-14,14.6527,14.6527,0.0
2014-03-18,14.7961,14.7961,0.0
2014-03-19,14.7118,14.7118,0.0
2014-03-20,14.8045,14.8045,0.0
2014-03-21,14.9389,14.9389,0.0
2014-03-24,14.9833,14.9833,0.0
2014-03-25,15.017,15.017,0.0
2014-03-26,15.0172,15.0172,0.0
2014-03-27,15.016,15.016,0.0
2014-03-28,15.1698,15.1698,0.0
2014-03-31,15.2761,15.2761,0.0
2014-04-01,15.3236,15.3236,0.0
2014-04-02,15.5261,15.5261,0.0
2014-04-03,15.5016,15.5016,0.0
2014-04-04,15.6554,15.6554,0.0
2014-04-07,15.7238,15.7238,0.0
2014-04-09,15.7721,15.7721,0.0
2014-04-10,15.7832,15.7832,0.0
2014-04-11,15.8805,15.8805,0.0
2014-04-15,15.959,15.959,0.0
2014-04-16,15.8341,15.8341,0.0
2014-04-17,15.9681,15.9681,0.0
2014-04-21,16.061,16.061,0.0
2014-04-22,16.1917,16.1917,0.0
2014-04-23,16.2362,16.2362,0.0
2014-04-25,16.2714,16.2714,0.0
2014-04-28,16.3857,16.3857,0.0
2014-04-29,16.4239,16.4239,0.0
2014-04-30,16.194,16.194,0.0
2014-05-02,16.1784,16.1784,0.0
2014-05-05,16.1466,16.1466,0.0
2014-05-06,16.2026,16.2026,0.0
2014-05-07,16.2031,16.2031,0.0
2014-05-08,16.2601,16.2601,0.0
2014-05-09,16.2665,16.2665,0.0
2014-05-12,16.236,16.236,0.0
2014-05-13,16.318,16.318,0.0
2014-05-14,16.3868,16.3868,0.0
2014-05-15,16.2742,16.2742,0.0
2014-05-16,16.3354,16.3354,0.0
2014-05-19,16.6375,16.6375,0.0
2014-05-20,17.0756,17.0756,0.0
2014-05-21,17.3618,17.3618,0.0
2014-05-22,17.6336,17.6336,0.0
2014-05-23,17.5799,17.5799,0.0
2014-05-26,17.2722,17.2722,0.0
2014-05-27,17.4244,17.4244,0.0
2014-05-28,17.7014,17.7014,0.0
2014-05-29,17.6411,17.6411,0.0
2014-05-30,17.5999,17.5999,0.0
2014-06-02,17.7284,17.7284,0.0
2014-06-03,17.7281,17.7281,0.0
2014-06-04,18.0406,18.0406,0.0
2014-06-05,18.2638,18.2638,0.0
2014-06-06,18.5395,18.5395,0.0
2014-06-09,18.8095,18.8095,0.0
2014-06-10,18.9611,18.9611,0.0
2014-06-11,18.7536,18.7536,0.0
2014-06-12,18.9265,18.9265,0.0
2014-06-13,18.7545,18.7545,0.0
2014-06-16,18.7174,18.7174,0.0
2014-06-17,19.0015,19.0015,0.0
2014-06-18,19.2167,19.2167,0.0
2014-06-19,19.1541,19.1541,0.0
2014-06-20,19.1702,19.1702,0.0
2014-06-23,19.1147,19.1147,0.0
2014-06-24,19.1991,19.1991,0.0
2014-06-25,19.3056,19.3056,0.0
2014-06-26,19.5189,19.5189,0.0
2014-06-27,19.669,19.669,0.0
2014-06-30,20.0705,20.0705,0.0
2014-07-01,20.2237,20.2237,0.0
2014-07-02,20.3994,20.3994,0.0
2014-07-03,20.539,20.539,0.0
2014-07-04,20.7887,20.7887,0.0
2014-07-07,20.9874,20.9874,0.0
2014-07-08,20.4515,20.4515,0.0
2014-07-09,20.1567,20.1567,0.0
2014-07-10,20.1881,20.1881,0.0
2014-07-11,19.8392,19.8392,0.0
2014-07-14,19.7798,19.7798,0.0
2014-07-15,19.9854,19.9854,0.0
2014-07-16,20.4248,20.4248,0.0
2014-07-17,20.8995,20.8995,0.0
2014-07-18,20.8316,20.8316,0.0
2014-07-21,21.28,21.28,0.0
2014-07-22,21.363,21.363,0.0
2014-07-23,21.24,21.24,0.0
2014-07-24,21.3216,21.3216,0.0
2014-07-25,21.1489,21.1489,0.0
2014-07-28,21.1246,21.1246,0.0
2014-07-30,21.0491,21.0491,0.0
2014-07-31,21.0652,21.0652,0.0
2014-08-01,20.8274,20.8274,0.0
2014-08-04,21.1423,21.1423,0.0
2014-08-05,21.1792,21.1792,0.0
2014-08-06,21.2068,21.2068,0.0
2014-08-07,21.1366,21.1366,0.0
2014-08-08,20.9051,20.9051,0.0
2014-08-11,21.0294,21.0294,0.0
2014-08-12,20.9523,20.9523,0.0
2014-08-13,20.4227,20.4227,0.0
2014-08-14,20.6268,20.6268,0.0
2014-08-18,20.9437,20.9437,0.0
2014-08-19,21.1964,21.1964,0.0
2014-08-20,21.5099,21.5099,0.0
2014-08-21,21.8125,21.8125,0.0
2014-08-22,21.898,21.898,0.0
2014-08-25,21.7299,21.7299,0.0
2014-08-26,21.6681,21.6681,0.0
2014-08-27,22.0752,22.0752,0.0
2014-08-28,22.1709,22.1709,0.0
2014-09-01,22.5292,22.5292,0.0
2014-09-02,22.6476,22.6476,0.0
2014-09-03,22.842,22.842,0.0
2014-09-04,22.8661,22.8661,0.0
2014-09-05,22.9624,22.9624,0.0
2014-09-08,23.31,23.31,0.0
2014-09-09,23.6853,23.6853,0.0
2014-09-10,23.8862,23.8862,0.0
2014-09-11,24.41,24.41,0.0
2014-09-12,24.6248,24.6248,0.0
2014-09-15,24.7489,24.7489,0.0
2014-09-16,24.0716,24.0716,0.0
2014-09-17,24.2051,24.2051,0.0
2014-09-18,24.5974,24.5974,0.0
2014-09-19,24.6537,24.6537,0.0
2014-09-22,24.9688,24.9688,0.0
2014-09-23,24.5235,24.5235,0.0
2014-09-24,24.1531,24.1531,0.0
2014-09-25,23.6113,23.6113,0.0
2014-09-26,23.6912,23.6912,0.0
2014-09-29,23.9932,23.9932,0.0
2014-09-30,24.2982,24.2982,0.0
2014-10-01,24.1597,24.1597,0.0
2014-10-07,23.9234,23.9234,0.0
2014-10-08,24.0609,24.0609,0.0
2014-10-09,24.0814,24.0814,0.0
2014-10-10,23.7407,23.7407,0.0
2014-10-13,23.8232,23.8232,0.0
2014-10-14,23.7147,23.7147,0.0
2014-10-16,23.2763,23.2763,0.0
2014-10-17,23.3519,23.3519,0.0
2014-10-20,23.3913,23.3913,0.0
2014-10-21,23.54,23.54,0.0
2014-10-22,23.8185,23.8185,0.0
2014-10-27,23.9115,23.9115,0.0
2014-10-28,24.0775,24.0775,0.0
2014-10-29,24.2092,24.2092,0.0
2014-10-30,24.2267,24.2267,0.0
2014-10-31,24.3031,24.3031,0.0
2014-11-03,24.5647,24.5647,0.0
2014-11-05,24.6593,24.6593,0.0
2014-11-07,24.567,24.567,0.0
2014-11-10,24.7095,24.7095,0.0
2014-11-11,24.92,24.92,0.0
2014-11-12,25.2255,25.2255,0.0
2014-11-13,25.3732,25.3732,0.0
2014-11-14,25.4694,25.4694,0.0
2014-11-17,25.74,25.74,0.0
2014-11-18,26.0028,26.0028,0.0
2014-11-19,26.0641,26.0641,0.0
2014-11-20,25.8923,25.8923,0.0
2014-11-21,25.9891,25.9891,0.0
2014-11-24,25.896,25.896,0.0
2014-11-25,25.3911,25.3911,0.0
2014-11-26,25.6618,25.6618,0.0
2014-11-27,26.0216,26.0216,0.0
2014-11-28,26.2402,26.2402,0.0
2014-12-01,26.2093,26.2093,0.0
2014-12-02,26.5928,26.5928,0.0
2014-12-03,27.0697,27.0697,0.0
2014-12-04,27.342,27.342,0.0
2014-12-05,27.3359,27.3359,0.0
2014-12-08,27.5153,27.5153,0.0
2014-12-09,27.0266,27.0266,0.0
2014-12-10,27.2901,27.2901,0.0
2014-12-11,27.739,27.739,0.0
2014-12-12,27.4434,27.4434,0.0
2014-12-15,27.3527,27.3527,0.0
2014-12-16,26.791,26.791,0.0
2014-12-17,26.2936,26.2936,0.0
2014-12-18,27.0853,27.0853,0.0
2014-12-19,27.1556,27.1556,0.0
2014-12-22,27.439,27.439,0.0
2014-12-23,27.4262,27.4262,0.0
2014-12-24,27.4695,27.4695,0.0
2014-12-26,27.5386,27.5386,0.0
2014-12-29,28.1163,28.1163,0.0
2014-12-30,28.5876,28.5876,0.0
2014-12-31,29.2084,29.2084,0.0
2015-01-01,29.3671,29.3671,0.0
2015-01-02,29.4253,29.4253,0.0
2015-01-05,29.3031,29.3031,0.0
2015-01-06,28.566,28.566,0.0
2015-01-07,28.7345,28.7345,0.0
2015-01-08,29.2325,29.2325,0.0
2015-01-09,29.2834,29.2834,0.0
2015-01-12,29.4713,29.4713,0.0
2015-01-13,29.4388,29.4388,0.0
2015-01-14,29.5028,29.5028,0.0
2015-01-15,29.6991,29.6991,0.0
2015-01-16,29.7293,29.7293,0.0
2015-01-19,30.5172,30.5172,0.0
2015-01-20,30.8184,30.8184,0.0
2015-01-21,30.714,30.714,0.0
2015-01-22,30.7123,30.7123,0.0
2015-01-23,30.4927,30.4927,0.0
2015-01-27,30.5724,30.5724,0.0
2015-01-28,30.7898,30.7898,0.0
2015-01-29,30.7497,30.7497,0.0
2015-01-30,30.5936,30.5936,0.0
2015-02-02,30.6145,30.6145,0.0
2015-02-03,30.7745,30.7745,0.0
2015-02-04,30.6731,30.6731,0.0
2015-02-05,30.2614,30.2614,0.0
2015-02-06,29.7377,29.7377,0.0
2015-02-09,29.397,29.397,0.0
2015-02-10,29.5782,29.5782,0.0
2015-02-11,29.9083,29.9083,0.0
2015-02-12,30.2611,30.2611,0.0
2015-02-13,30.2844,30.2844,0.0
2015-02-16,30.5344,30.5344,0.0
2015-02-18,30.6868,30.6868,0.0
2015-02-19,30.6178,30.6178,0.0
2015-02-20,30.6869,30.6869,0.0
2015-02-23,30.3222,30.3222,0.0
2015-02-24,30.2175,30.2175,0.0
2015-02-25,30.1089,30.1089,0.0
2015-02-26,29.9507,29.9507,0.0
2015-02-27,30.2262,30.2262,0.0
2015-03-02,30.5216,30.5216,0.0
2015-03-03,30.8045,30.8045,0.0
2015-03-04,30.6349,30.6349,0.0
2015-03-05,30.6428,30.6428,0.0
2015-03-09,30.4317,30.4317,0.0
2015-03-10,30.3725,30.3725,0.0
2015-03-11,30.4375,30.4375,0.0
2015-03-12,30.686,30.686,0.0
2015-03-13,30.2599,30.2599,0.0
2015-03-16,30.179,30.179,0.0
2015-03-17,30.0579,30.0579,0.0
2015-03-18,30.0143,30.0143,0.0
2015-03-19,29.8192,29.8192,0.0
2015-03-20,29.392,29.392,0.0
2015-03-23,28.911,28.911,0.0
2015-03-24,28.8295,28.8295,0.0
2015-03-25,28.8366,28.8366,0.0
2015-03-26,28.4267,28.4267,0.0
2015-03-27,28.5473,28.5473,0.0
2015-03-30,29.2627,29.2627,0.0
2015-03-31,29.3347,29.3347,0.0
2015-04-01,29.7949,29.7949,0.0
2015-04-06,30.1584,30.1584,0.0
2015-04-07,30.2953,30.2953,0.0
2015-04-08,30.8106,30.8106,0.0
2015-04-09,31.2433,31.2433,0.0
2015-04-10,31.3292,31.3292,0.0
2015-04-13,31.7364,31.7364,0.0
2015-04-15,31.8726,31.8726,0.0
2015-04-16,31.9168,31.9168,0.0
2015-04-17,31.798,31.798,0.0
2015-04-20,31.0796,31.0796,0.0
2015-04-21,31.0267,31.0267,0.0
2015-04-22,31.0468,31.0468,0.0
2015-04-23,30.9662,30.9662,0.0
2015-04-24,30.2416,30.2416,0.0
2015-04-27,29.674,29.674,0.0
2015-04-28,29.7529,29.7529,0.0
2015-04-29,30.1521,30.1521,0.0
2015-04-30,30.1525,30.1525,0.0
2015-05-04,30.6068,30.6068,0.0
2015-05-05,30.6932,30.6932,0.0
2015-05-06,30.0312,30.0312,0.0
2015-05-07,29.4468,29.4468,0.0
2015-05-08,29.884,29.884,0.0
2015-05-11,30.6452,30.6452,0.0
2015-05-12,30.1822,30.1822,0.0
2015-05-13,30.4511,30.4511,0.0
2015-05-14,30.5463,30.5463,0.0
2015-05-15,31.0965,31.0965,0.0
2015-05-18,31.1586,31.1586,0.0
2015-05-19,31.0088,31.0088,0.0
2015-05-20,30.9295,30.9295,0.0
2015-05-21,30.8716,30.8716,0.0
2015-05-22,30.8954,30.8954,0.0
2015-05-25,30.681,30.681,0.0
2015-05-26,30.5493,30.5493,0.0
2015-05-27,30.3406,30.3406,0.0
2015-05-28,30.3566,30.3566,0.0
2015-05-29,30.5261,30.5261,0.0
2015-06-01,30.3029,30.3029,0.0
2015-06-02,29.8851,29.8851,0.0
2015-06-03,29.5373,29.5373,0.0
2015-06-04,29.4409,29.4409,0.0
2015-06-05,29.7033,29.7033,0.0
2015-06-08,29.3979,29.3979,0.0
2015-06-09,29.2003,29.2003,0.0
2015-06-10,29.6228,29.6228,0.0
2015-06-11,29.1922,29.1922,0.0
2015-06-12,29.2746,29.2746,0.0
2015-06-15,29.5041,29.5041,0.0
2015-06-16,29.497,29.497,0.0
2015-06-17,30.0202,30.0202,0.0
2015-06-18,30.4689,30.4689,0.0
2015-06-19,30.5701,30.5701,0.0
2015-06-22,30.7491,30.7491,0.0
2015-06-23,30.8937,30.8937,0.0
2015-06-24,30.9998,30.9998,0.0
2015-06-25,31.0607,31.0607,0.0
2015-06-26,31.0294,31.0294,0.0
2015-06-29,30.6479,30.6479,0.0
2015-06-30,31.1456,31.1456,0.0
2015-07-01,31.4503,31.4503,0.0
2015-07-02,31.5581,31.5581,0.0
2015-07-03,31.7734,31.7734,0.0
2015-07-06,32.4565,32.4565,0.0
2015-07-07,32.8775,32.8775,0.0
