amfi_code,Sector_HHI,concentration_level
119092,0.29676909,High Concentration
148569,0.25499194,High Concentration
125498,0.25315499999999996,High Concentration
102887,0.25138255,High Concentration
149323,0.24107663999999998,Moderate Concentration
120505,0.23869504,Moderate Concentration
118635,0.23749676999999994,Moderate Concentration
119599,0.2323612,Moderate Concentration
120506,0.23146434,Moderate Concentration
100033,0.22764744,Moderate Concentration
119552,0.22750834999999997,Moderate Concentration
101207,0.22272651000000002,Moderate Concentration
120504,0.22121302999999998,Moderate Concentration
118633,0.22120031999999998,Moderate Concentration
148568,0.21808585,Moderate Concentration
120841,0.21589315000000003,Moderate Concentration
118632,0.20725894,Moderate Concentration
148567,0.20124814999999996,Moderate Concentration
149324,0.18870082000000002,Moderate Concentration
119598,0.18808485,Moderate Concentration
119093,0.18423319999999999,Moderate Concentration
149322,0.18269533,Moderate Concentration
120503,0.18216749999999998,Moderate Concentration
102885,0.18071201999999997,Moderate Concentration
100016,0.18058808,Moderate Concentration
101206,0.18004225000000001,Moderate Concentration
119094,0.17510025,Moderate Concentration
125497,0.17241088,Moderate Concentration
120842,0.16206189,Moderate Concentration
118634,0.16029923999999998,Moderate Concentration
119095,0.15958229000000002,Moderate Concentration
119551,0.14249103999999999,Low Concentration
120843,0.13620616000000002,Low Concentration
102886,0.12402024,Low Concentration
